call option price0,stockprice0
3.25781,97.9007
3.19232,97.8104
3.05984,97.5298
3.20638,98.0323
3.45775,98.7972
3.95707,100.132
4.24719,100.895
4.95699,102.518
4.45774,101.535
3.85919,100.248
4.47309,101.737
3.59143,99.7744
2.86622,97.9331
3.02637,98.4829
4.65736,102.468
4.63671,102.51
4.33052,101.941
4.36307,102.1
4.27891,102.005
5.72588,104.965
5.15569,103.973
3.86298,101.349
3.02972,99.3915
4.10015,102.066
3.66984,101.186
2.95661,99.5064
2.99487,99.7129
2.31998,97.891
2.50376,98.5613
3.33115,100.876
4.44278,103.433
5.3558,105.267
4.9385,104.582
4.01474,102.828
4.74066,104.385
5.22314,105.37
4.53971,104.181
4.22072,103.644
5.30315,105.774
4.74767,104.857
3.73328,102.932
3.37388,102.247
2.48591,100.155
2.64781,100.712
1.57137,97.524
0.796727,94.062
0.711799,93.6957
0.967002,95.3574
0.954749,95.4615
1.34275,97.3916
1.99416,99.7949
2.50411,101.349
1.8983,99.7902
1.85125,99.7923
1.16247,97.4648
1.29679,98.1858
1.23562,98.1136
1.46908,99.1612
1.04764,97.6764
1.05907,97.9129
0.927752,97.5047
1.06672,98.3245
1.18553,98.9983
0.696303,96.9201
1.39466,100.131
0.724805,97.5221
0.29671,94.6127
